✓ 收到  workloada  [process_num_20] 2025-04-19_02-57-26---workloada  481,496.23 ops/s  AvgPwr: 940.24 W, StartPwr: 780 W, Δ: 160.24 W
✓ 收到  workloada  [process_num_20] 2025-04-19_09-29-17---workloada  485,098.96 ops/s  AvgPwr: 935.37 W, StartPwr: 792 W, Δ: 143.37 W
✓ 收到  workloada  [process_num_88] 2025-04-19_07-02-22---workloada  912,861.38 ops/s  AvgPwr: 1007.68 W, StartPwr: 780 W, Δ: 227.68 W
✓ 收到  workloadf  [process_num_88] 2025-04-19_13-39-36---workloadf  917,937.89 ops/s  AvgPwr: 1014.17 W, StartPwr: 780 W, Δ: 234.17 W
✓ 收到  workloada  [process_num_88] 2025-04-18_21-14-41---workloada  932,361.09 ops/s  AvgPwr: 1022.00 W, StartPwr: 780 W, Δ: 242.00 W
✓ 收到  workloada  [process_num_88] 2025-04-19_13-34-32---workloada  920,944.39 ops/s  AvgPwr: 1022.82 W, StartPwr: 780 W, Δ: 242.82 W
✓ 收到  workloadf  [process_num_88] 2025-04-19_07-07-25---workloadf  919,703.38 ops/s  AvgPwr: 1008.32 W, StartPwr: 780 W, Δ: 228.32 W
✓ 收到  workloadf  [process_num_88] 2025-04-19_03-51-33---workloadf  914,653.93 ops/s  AvgPwr: 995.77 W, StartPwr: 780 W, Δ: 215.77 W
✓ 收到  workloada  [process_num_88] 2025-04-19_10-18-24---workloada  921,064.85 ops/s  AvgPwr: 1021.03 W, StartPwr: 780 W, Δ: 241.03 W
✓ 收到  workloadf  [process_num_88] 2025-04-19_00-35-41---workloadf  922,084.81 ops/s  AvgPwr: 1027.14 W, StartPwr: 780 W, Δ: 247.14 W
✓ 收到  workloada  [process_num_88] 2025-04-19_00-30-41---workloada  919,478.62 ops/s  AvgPwr: 1042.05 W, StartPwr: 780 W, Δ: 262.05 W
✓ 收到  workloada  [process_num_88] 2025-04-19_03-46-30---workloada  922,498.68 ops/s  AvgPwr: 995.56 W, StartPwr: 672 W, Δ: 323.56 W
✓ 收到  workloadf  [process_num_88] 2025-04-18_21-19-45---workloadf  893,738.50 ops/s  AvgPwr: 1032.34 W, StartPwr: 780 W, Δ: 252.34 W
✓ 收到  workloadf  [process_num_88] 2025-04-19_10-23-28---workloadf  927,061.22 ops/s  AvgPwr: 1015.89 W, StartPwr: 780 W, Δ: 235.89 W

🔸 workloada
   [process_num_10] 2025-04-18_20-20-36    282,172.87 ops/sec  AvgPwr: 872.00 W, StartPwr: 792 W, Diff: 80.00 W
   [process_num_10] 2025-04-18_23-36-36    285,640.63 ops/sec  AvgPwr: 868.80 W, StartPwr: 792 W, Diff: 76.80 W
   [process_num_10] 2025-04-19_02-52-31    277,404.53 ops/sec  AvgPwr: 876.00 W, StartPwr: 792 W, Diff: 84.00 W
   [process_num_10] 2025-04-19_06-08-23    276,489.07 ops/sec  AvgPwr: 873.60 W, StartPwr: 792 W, Diff: 81.60 W
   [process_num_10] 2025-04-19_09-24-22    283,897.24 ops/sec  AvgPwr: 871.71 W, StartPwr: 792 W, Diff: 79.71 W
   [process_num_10] 2025-04-19_12-40-30    279,589.70 ops/sec  AvgPwr: 872.80 W, StartPwr: 792 W, Diff: 80.80 W
   ---------------------------------------------------------------------------
   [process_num_20] 2025-04-18_20-25-33    486,327.90 ops/sec  AvgPwr: 936.00 W, StartPwr: 792 W, Diff: 144.00 W
   [process_num_20] 2025-04-18_23-41-32    477,474.55 ops/sec  AvgPwr: 940.50 W, StartPwr: 780 W, Diff: 160.50 W
