✓ 收到  workloadf  [process_num_80] 2025-04-19_12-26-30---workloadf  756,123.93 ops/s  AvgPwr: 1017.49 W, StartPwr: 780 W, Δ: 237.49 W
✓ 收到  workloadf  [process_num_80] 2025-04-18_20-06-37---workloadf  756,244.82 ops/s  AvgPwr: 1009.43 W, StartPwr: 792 W, Δ: 217.43 W
✓ 收到  workloadf  [process_num_80] 2025-04-19_05-54-17---workloadf  757,459.67 ops/s  AvgPwr: 1004.86 W, StartPwr: 792 W, Δ: 212.86 W
✓ 收到  workloadf  [process_num_80] 2025-04-19_09-10-25---workloadf  756,747.31 ops/s  AvgPwr: 1005.60 W, StartPwr: 780 W, Δ: 225.60 W
✓ 收到  workloadf  [process_num_30] 2025-04-19_01-58-38---workloadf  306,682.22 ops/s  AvgPwr: 959.71 W, StartPwr: 792 W, Δ: 167.71 W
✓ 收到  workloada  [process_num_30] 2025-04-19_01-55-04---workloada  313,353.55 ops/s  AvgPwr: 955.90 W, StartPwr: 792 W, Δ: 163.90 W
✓ 收到  workloadf  [process_num_30] 2025-04-19_08-30-36---workloadf  305,239.34 ops/s  AvgPwr: 954.29 W, StartPwr: 792 W, Δ: 162.29 W
✓ 收到  workloada  [process_num_30] 2025-04-19_08-27-00---workloada  310,423.68 ops/s  AvgPwr: 961.71 W, StartPwr: 792 W, Δ: 169.71 W
✓ 收到  workloadf  [process_num_30] 2025-04-19_05-14-34---workloadf  307,192.21 ops/s  AvgPwr: 966.90 W, StartPwr: 792 W, Δ: 174.90 W
✓ 收到  workloada  [process_num_30] 2025-04-18_22-39-26---workloada  312,477.16 ops/s  AvgPwr: 956.20 W, StartPwr: 792 W, Δ: 164.20 W
✓ 收到  workloada  [process_num_30] 2025-04-19_11-43-05---workloada  313,459.32 ops/s  AvgPwr: 954.73 W, StartPwr: 792 W, Δ: 162.73 W
✓ 收到  workloadf  [process_num_30] 2025-04-18_19-26-45---workloadf  306,879.54 ops/s  AvgPwr: 960.28 W, StartPwr: 780 W, Δ: 180.28 W
✓ 收到  workloada  [process_num_30] 2025-04-19_05-10-59---workloada  313,538.58 ops/s  AvgPwr: 955.08 W, StartPwr: 792 W, Δ: 163.08 W
✓ 收到  workloada  [process_num_30] 2025-04-18_19-23-11---workloada  314,197.62 ops/s  AvgPwr: 948.59 W, StartPwr: 792 W, Δ: 156.59 W
